DATE:,2017/12/3 19:54,,,,,,,,,,,,
TOOL:,DATE,,,,,,,,,,,,
,,No.,USECASE NAME,IS IN BENCHMARKS,IS IN SCRIPTFILE,TOTAL,FOUNDED,MISSED,EXTRA,PR,FNR,FPR,OVERHEAD
,,,,29,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,67,99,null,null,,,
,,,,30,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,42,63,null,null,,,
,,,,31,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,42,64,null,null,,,
,,,,32,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,43,99,null,null,,,
,,,,33,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,83,99,null,null,,,
,,,,34,additional,bubblesort/BubbleSort.java;bubblesort/Reporter.java,47,126,null,null,,,
,,,,35,additional,bubblesort/BubbleSort.java;bubblesort/Reporter.java,67,126,null,null,,,
,,,,36,additional,bubblesort/BubbleSort.java;bubblesort/Reporter.java,43,126,null,null,,,
,,,,37,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,16,51,null,null,,,
,,,,38,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,48,51,null,null,,,
,,,,39,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,47,63,null,null,,,
,,,,40,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,16,99,null,null,,,
,,,,41,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,47,64,null,null,,,
,,,,42,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,44,51,null,null,,,
,,,,43,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,48,99,null,null,,,
,,,,44,additional,bubblesort/OneBubble.java;bubblesort/BubbleSort.java,51,60,null,null,,,
,,,,45,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,20,51,null,null,,,
,,,,46,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,43,63,null,null,,,
,,,,47,additional,bubblesort/OneBubble.java;bubblesort/BubbleSort.java,51,61,null,null,,,
,,,,48,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,56,99,null,null,,,
,,,,49,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,43,64,null,null,,,
,,,,50,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,40,51,null,null,,,
,,,,51,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,44,99,null,null,,,
